complexidade,n,tempo_medio_s,desvio_padrao_s,tempo_normalizado,desvio_normalizado
O(1),10,0.01228089699998236,0.005337161315196295,1.0,0.4345905120125966
O(1),25,0.009348287200191407,0.0011748783103216896,0.761205569935554,0.09566714144116485
O(1),50,0.013615772800039849,0.005149426117346728,1.1086953013333964,0.4193037460825642
O(1),100,0.008154191800167609,0.0008462173159014801,0.663973633210939,0.06890517165828323
O(1),200,0.00787709280011768,0.0005946690347944786,0.6414102162186519,0.04842228013111199
O(1),400,0.007448574200134317,0.00045795672756592594,0.6065171135418704,0.03729016924143112
O(log n),10,0.036043614600203,0.0027257134161947053,1.0,0.07562264346759923
O(log n),25,0.08113105599986739,0.030918964034826954,2.250913425298096,0.8578208478195418
O(log n),50,0.07111216459979915,0.01635968568943123,1.9729476465825555,0.45388582335299665
O(log n),100,0.08766184499982047,0.0172418343290729,2.4321047145845007,0.47836030099422355
O(log n),200,0.08187965819997771,0.009088392029473466,2.271682768451213,0.2521498504043565
O(log n),400,0.11078390820002823,0.0448319000979032,3.073607057140276,1.2438236451915314
O(n),10,0.00048677859995223117,0.0001413832351036655,1.0,0.29044669407722484
O(n),25,0.001019796200125711,0.00041227285983867236,2.094989796646332,0.8469412169703634
O(n),50,0.0012876150000010965,6.181194875802849e-05,2.6451758563902636,0.12698164784584667
O(n),100,0.002432391000002099,0.0003920980168730872,4.996914408810896,0.8054955926812821
O(n),200,0.00445376359984948,0.0005142439826512408,9.149464664811763,1.056422740649866
O(n),400,0.012718652799958364,0.0023083547667898234,26.128208596693604,4.742104042816073
O(n log n),10,0.00029285880009410903,0.00030624385539012986,1.0,1.0457048082274447
O(n log n),25,0.00023697879987594206,2.36187646794381e-05,0.8091913229166747,0.08064898398767018
O(n log n),50,0.0004922581998471287,1.2246279823632121e-05,1.6808721461979066,0.04181632861876381
O(n log n),100,0.0010288362000210327,1.2007064126485872e-05,3.513079339567123,0.04099949915326925
O(n log n),200,0.00236015119971853,0.00025901328010564554,8.059007272310426,0.8844305857376068
O(n log n),400,0.00534535959995992,0.0003954571455860727,18.252344127074924,1.3503338313856168
O(n log n) - quicksort,10,8.723960017960053e-05,8.962878747692867e-06,1.0,0.10273864998510941
O(n log n) - quicksort,25,0.00021965899995848303,1.899086617835311e-05,2.5178817819690846,0.2176863046054376
O(n log n) - quicksort,50,0.0004593179999574204,1.8696175906960525e-05,5.2650172514754825,0.21430836304236414
O(n log n) - quicksort,100,0.001044335799815599,0.00017850393850532255,11.970891632534084,2.0461343029752057
O(n log n) - quicksort,200,0.0022397114000341388,0.00035209467151841374,25.6731048219299,4.035950082228196
O(n log n) - quicksort,400,0.0046388954002395625,0.00040180078045951625,53.17419372268384,4.605715519469682
O(n^2),10,4.198019996692892e-05,1.0675973724067994e-05,1.0,0.2543097396505565
O(n^2),25,0.00019416099985392066,2.011964002277999e-06,4.625061338604304,0.047926498774731416
O(n^2),50,0.0010962060001475037,0.0003422221465478684,26.112453037648002,8.1519894335297
O(n^2),100,0.004018761599945719,0.0013901018318765621,95.72992989818083,33.11327323289679
O(n^2),200,0.01795871759986767,0.004812388265801808,427.79018713620115,114.63471516555191
O(n^2),400,0.13411526859999867,0.09337042145332726,3194.7267689446867,2224.153804100086
O(n^3),10,4.372019993752474e-05,1.8023847021615392e-06,1.0,0.04122544509716583
O(n^3),25,0.0007891042001574533,0.0002659570530477689,18.048961379066583,6.083161866318453
O(n^3),50,0.004979387200182828,0.0007600961386246257,113.89214155695237,17.385468037904385
O(n^3),100,0.03427026420013135,0.003910962119906435,783.8542424120394,89.45435120367974
O(n^3),200,0.30957354820002364,0.04353214461370541,7080.789855544984,995.6986627671406
O(2^n),5,1.9799997971858828e-06,1.138858949445737e-06,1.0,0.5751813465154717
O(2^n),10,1.0000000293075572e-05,3.4641004249248077e-07,5.050505715853248,0.17495458483623255
O(2^n),15,0.00010938040013570571,1.0372042313134953e-05,55.24263198974311,5.238405745231106
O(2^n),20,0.0013754673997027566,0.0003892534220617249,694.6805760574669,196.59265754216727
O(2^n),25,0.014428734600187454,0.0013508150277343031,7287.24044350641,682.2298818687649
